epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.517,1.87361,1.66364,1.38484,0.68265,0.58117,0.65974,0.31128,1.7627,1.44595,1.34014,0.000661247,0.000661247,0.000661247
2,37.7311,1.57925,1.25502,1.24652,0.71311,0.63933,0.71277,0.32851,1.72677,1.51468,1.44443,0.00130162,0.00130162,0.00130162
3,55.3574,1.54653,1.22647,1.245,0.77953,0.65209,0.7687,0.41108,1.43363,1.24256,1.27038,0.00191559,0.00191559,0.00191559
4,72.7562,1.48751,1.1675,1.20864,0.77559,0.66967,0.78348,0.43952,1.39025,1.19101,1.21452,0.0018812,0.0018812,0.0018812
5,90.2728,1.43826,1.15911,1.19021,0.79076,0.68703,0.79396,0.42797,1.45758,1.15495,1.25307,0.0018416,0.0018416,0.0018416
6,107.686,1.40248,1.11241,1.17664,0.74167,0.70892,0.77054,0.42515,1.36501,1.29932,1.19082,0.001802,0.001802,0.001802
7,125.478,1.36944,1.10287,1.15657,0.80817,0.71128,0.82413,0.47894,1.3018,1.07893,1.16876,0.0017624,0.0017624,0.0017624
8,143.252,1.34613,1.08665,1.14552,0.81485,0.72015,0.82728,0.48169,1.26618,1.06297,1.14751,0.0017228,0.0017228,0.0017228
9,160.615,1.33389,1.07586,1.14475,0.83414,0.71609,0.83284,0.48878,1.22568,1.05238,1.15046,0.0016832,0.0016832,0.0016832
10,177.992,1.31632,1.06093,1.13383,0.8286,0.70995,0.82982,0.4798,1.30648,1.05578,1.17913,0.0016436,0.0016436,0.0016436
11,195.275,1.29622,1.04466,1.13016,0.83609,0.73283,0.84395,0.4951,1.27621,1.01858,1.15554,0.001604,0.001604,0.001604
12,212.602,1.27612,1.02733,1.12174,0.82393,0.73035,0.83638,0.50251,1.21543,1.04084,1.13585,0.0015644,0.0015644,0.0015644
13,230.08,1.24965,1.01653,1.1017,0.84897,0.73517,0.84788,0.50885,1.20709,1.0165,1.11926,0.0015248,0.0015248,0.0015248
